"","name","add","BD_lon","BD_lat","WGS_lon","WGS_lat"
"1","理塘县人民医院","甘孜藏族自治州理塘县高城镇希望路2号附近",100.278162,29.99957,100.270379392581,29.9965462431428
"2","巴塘县人民医院","甘孜藏族自治州巴塘县巴安路96号",99.110798,30.01084,99.1032909673018,30.0072027168133
"3","雅江县人民医院","甘孜藏族自治州雅江县河口镇滨江路3号",101.021394,30.036873,101.013340200145,30.0334767434778
"4","新都桥人民医院","甘孜藏族自治州康定市新都桥镇政府北侧",101.500379,30.052265,101.492143222944,30.0488962710209
"5","香格里拉镇卫生院","拉镇派出所旁",100.347657,28.561181,100.339895226039,28.5583701623653
"6","康定市人民医院","甘孜藏族自治州康定市情歌路29号",101.964546,30.000608,101.956495089805,29.9976228260285
"7","稻城县人民医院","甘孜藏族自治州稻城县亚丁路二段9号",100.30165,29.041469,100.293957064057,29.0384740213306
"8","色达县人民医院","甘孜藏族自治州色达县金马大道东段38号",100.34837,32.271194,100.340506368313,32.2673172640059
"9","甘孜州泸定县人民医院","甘孜藏族自治州泸定县泸桥镇成武路111号",102.238413,29.913464,102.230407316053,29.9098822966112
"10","甘孜县人民医院","甘孜藏族自治州甘孜县东大街140号",99.998586,31.63392,99.9908590689117,31.6302328598881
"11","甘孜州藏医院","甘孜藏族自治州康定市炉城南路41号",101.967316,30.042607,101.959244927875,30.0395711312568
"12","道孚县八美中心医院","四川省甘孜藏族自治州道孚县八美中心医院(303省道北)",101.48527,30.490661,101.476908848281,30.4874392521637
"13","德格县人民医院","甘孜藏族自治州德格县卫生街12号",98.58468,31.810213,98.5778087357046,31.8069729811548
"14","道孚县人民医院","甘孜藏族自治州道孚县鲜河西路278号",101.127326,30.989329,101.118954874007,30.9857372197393
"15","康定市第二人民医院","甘孜藏族自治州康定市姑咱镇鱼通路45号",102.1839,30.120454,102.175636395859,30.1173836775482
"16","九龙县人民医院","甘孜藏族自治州九龙县绵九街53号",101.511319,29.008849,101.503228698569,29.005780149569
"17","康定市民族医院","四川省甘孜藏族自治州康定市向阳街161",101.965757,30.04774,101.957685433099,30.0447301789519
"18","乡城县人民医院","甘孜藏族自治州乡城县香巴拉北路",99.807926,28.938026,99.8002477503239,28.93540263246
"19","石渠县藏医院","甘孜藏族自治州石渠县菊母街与217省道交叉口北50米",98.102599,32.980896,98.0953694168739,32.9771657711032
"20","新龙县人民医院","人民路32",100.317568,30.941294,100.309863251529,30.9374591398277
"21","丹巴县人民医院","丹巴县章谷镇嘉绒新区美人谷大道10号",101.885652,30.894875,101.877736791987,30.8912324360815
"22","白玉县人民医院","甘孜藏族自治州白玉县建设镇康复路30号",98.829245,31.216349,98.8221071555323,31.2130836230383
"23","炉霍县藏医院","甘孜州炉霍县建设路8号",100.687519,31.404529,100.679863279651,31.4005782132369
"24","康定友好医院","康定市炉城南路十七队672号",101.966762,30.032993,101.958689378819,30.0299659055696
"25","理塘县藏医院","四川省甘孜藏族自治州理塘县高城镇幸福西路143号",100.272014,29.996163,100.264226956477,29.9931860870098
"26","雅江县中藏医院","甘孜藏族自治州雅江县滨江路15号",101.023192,30.037341,101.015139119542,30.0339122268291
"27","甘孜州石渠县妇幼保健院","城区小学校对面",98.112017,32.981872,98.1047916462261,32.9781356935021
"28","甘孜州皮肤病防治院","甘孜藏族自治州泸定县磨西镇燕子沟路",102.114299,29.670954,102.106058271764,29.6672578725447
